comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
ALUMBRA;3.0TD;DIAMANTE;CONS. > 2.500.000 KW;;;28.301,00 €;24.055,85 €;22.640,80 €;20.376,72 €;2.264,08 €;18.112,64 €;4.528,16 €;11.320,40 €;11.320,40 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 0 - 5.000 KW;;;277,00 €;235,45 €;221,60 €;199,44 €;22,16 €;177,28 €;44,32 €;110,80 €;110,80 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 5.000 - 10.000 KW;;;384,00 €;326,40 €;307,20 €;276,48 €;30,72 €;245,76 €;61,44 €;153,60 €;153,60 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 10.000 - 20.000 KW;;;601,00 €;510,85 €;480,80 €;432,72 €;48,08 €;384,64 €;96,16 €;240,40 €;240,40 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 20.000 - 30.000 KW;;;1.017,00 €;864,45 €;813,60 €;732,24 €;81,36 €;650,88 €;162,72 €;406,80 €;406,80 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 30.000 - 40.000 KW;;;1.244,00 €;1.057,40 €;995,20 €;895,68 €;99,52 €;796,16 €;199,04 €;497,60 €;497,60 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 40.000 - 50.000 KW;;;1.526,00 €;1.297,10 €;1.220,80 €;1.098,72 €;122,08 €;976,64 €;244,16 €;610,40 €;610,40 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 50.000 - 70.000 KW;;;2.312,00 €;1.965,20 €;1.849,60 €;1.664,64 €;184,96 €;1.479,68 €;369,92 €;924,80 €;924,80 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 70.000 - 100.000 KW;;;2.982,00 €;2.534,70 €;2.385,60 €;2.147,04 €;238,56 €;1.908,48 €;477,12 €;1.192,80 €;1.192,80 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 100.000 - 150.000 KW;;;3.791,00 €;3.222,35 €;3.032,80 €;2.729,52 €;303,28 €;2.426,24 €;606,56 €;1.516,40 €;1.516,40 €
