comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
REPSOL;3.0TD;SOLAR NOCHES+FINES_SEMANA SBC REPOS2 12M L2;CONS. 0 - 9.999 KW;;;108,00 €;97,20 €;86,40 €;77,76 €;8,64 €;69,12 €;17,28 €;43,20 €;43,20 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L0;CONS. 10.000 - 29.999 KW;;;378,00 €;340,20 €;302,40 €;272,16 €;30,24 €;241,92 €;60,48 €;151,20 €;151,20 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L2;CONS. 10.000 - 29.999 KW;;;270,00 €;243,00 €;216,00 €;194,40 €;21,60 €;172,80 €;43,20 €;108,00 €;108,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L4;CONS. 10.000 - 29.999 KW;;;202,50 €;182,25 €;162,00 €;145,80 €;16,20 €;129,60 €;32,40 €;81,00 €;81,00 €
REPSOL;3.0TD;PRESENCIALES SBC TA24HPY 3.0 REPOS2 12M L4;CONS. 10.000 - 29.999 KW;;;202,50 €;182,25 €;162,00 €;145,80 €;16,20 €;129,60 €;32,40 €;81,00 €;81,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L8;CONS. 10.000 - 29.999 KW;;;144,00 €;129,60 €;115,20 €;103,68 €;11,52 €;92,16 €;23,04 €;57,60 €;57,60 €
REPSOL;3.0TD;PRECIO FIJO PRESENCIALES SBC 12M L4;CONS. 10.000 - 29.999 KW;;;202,50 €;182,25 €;162,00 €;145,80 €;16,20 €;129,60 €;32,40 €;81,00 €;81,00 €
REPSOL;3.0TD;PRECIO FIJO PRESENCIALES SBC REPOS3 12M L8;CONS. 10.000 - 29.999 KW;;;144,00 €;129,60 €;115,20 €;103,68 €;11,52 €;92,16 €;23,04 €;57,60 €;57,60 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L0;CONS. 10.000 - 29.999 KW;;;378,00 €;340,20 €;302,40 €;272,16 €;30,24 €;241,92 €;60,48 €;151,20 €;151,20 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC REPOS 2 12M L2;CONS. 10.000 - 29.999 KW;;;270,00 €;243,00 €;216,00 €;194,40 €;21,60 €;172,80 €;43,20 €;108,00 €;108,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L4;CONS. 10.000 - 29.999 KW;;;202,50 €;182,25 €;162,00 €;145,80 €;16,20 €;129,60 €;32,40 €;81,00 €;81,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L8;CONS. 10.000 - 29.999 KW;;;144,00 €;129,60 €;115,20 €;103,68 €;11,52 €;92,16 €;23,04 €;57,60 €;57,60 €
REPSOL;3.0TD;SOLAR EMPRESA SBC REPOS2 12M L8;CONS. 10.000 - 29.999 KW;;;144,00 €;129,60 €;115,20 €;103,68 €;11,52 €;92,16 €;23,04 €;57,60 €;57,60 €
REPSOL;3.0TD;SOLAR NOCHES+FINES_SEMANA SBC REPOS2 12M L2;CONS. 10.000 - 29.999 KW;;;270,00 €;243,00 €;216,00 €;194,40 €;21,60 €;172,80 €;43,20 €;108,00 €;108,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L0;CONS. 30.000 - 64.999 KW;;;504,00 €;453,60 €;403,20 €;362,88 €;40,32 €;322,56 €;80,64 €;201,60 €;201,60 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L2;CONS. 30.000 - 64.999 KW;;;360,00 €;324,00 €;288,00 €;259,20 €;28,80 €;230,40 €;57,60 €;144,00 €;144,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L4;CONS. 30.000 - 64.999 KW;;;270,00 €;243,00 €;216,00 €;194,40 €;21,60 €;172,80 €;43,20 €;108,00 €;108,00 €
REPSOL;3.0TD;PRESENCIALES SBC TA24HPY 3.0 REPOS2 12M L4;CONS. 30.000 - 64.999 KW;;;270,00 €;243,00 €;216,00 €;194,40 €;21,60 €;172,80 €;43,20 €;108,00 €;108,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L8;CONS. 30.000 - 64.999 KW;;;180,00 €;162,00 €;144,00 €;129,60 €;14,40 €;115,20 €;28,80 €;72,00 €;72,00 €
REPSOL;3.0TD;PRECIO FIJO PRESENCIALES SBC 12M L4;CONS. 30.000 - 64.999 KW;;;270,00 €;243,00 €;216,00 €;194,40 €;21,60 €;172,80 €;43,20 €;108,00 €;108,00 €
REPSOL;3.0TD;PRECIO FIJO PRESENCIALES SBC REPOS3 12M L8;CONS. 30.000 - 64.999 KW;;;180,00 €;162,00 €;144,00 €;129,60 €;14,40 €;115,20 €;28,80 €;72,00 €;72,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L0;CONS. 30.000 - 64.999 KW;;;504,00 €;453,60 €;403,20 €;362,88 €;40,32 €;322,56 €;80,64 €;201,60 €;201,60 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC REPOS 2 12M L2;CONS. 30.000 - 64.999 KW;;;360,00 €;324,00 €;288,00 €;259,20 €;28,80 €;230,40 €;57,60 €;144,00 €;144,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L4;CONS. 30.000 - 64.999 KW;;;270,00 €;243,00 €;216,00 €;194,40 €;21,60 €;172,80 €;43,20 €;108,00 €;108,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L8;CONS. 30.000 - 64.999 KW;;;180,00 €;162,00 €;144,00 €;129,60 €;14,40 €;115,20 €;28,80 €;72,00 €;72,00 €
REPSOL;3.0TD;SOLAR EMPRESA SBC REPOS2 12M L8;CONS. 30.000 - 64.999 KW;;;180,00 €;162,00 €;144,00 €;129,60 €;14,40 €;115,20 €;28,80 €;72,00 €;72,00 €
REPSOL;3.0TD;SOLAR NOCHES+FINES_SEMANA SBC REPOS2 12M L2;CONS. 30.000 - 64.999 KW;;;360,00 €;324,00 €;288,00 €;259,20 €;28,80 €;230,40 €;57,60 €;144,00 €;144,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L0;CONS. 65.000 - 99.999 KW;;;720,00 €;648,00 €;576,00 €;518,40 €;57,60 €;460,80 €;115,20 €;288,00 €;288,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L2;CONS. 65.000 - 99.999 KW;;;450,00 €;405,00 €;360,00 €;324,00 €;36,00 €;288,00 €;72,00 €;180,00 €;180,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L4;CONS. 65.000 - 99.999 KW;;;315,00 €;283,50 €;252,00 €;226,80 €;25,20 €;201,60 €;50,40 €;126,00 €;126,00 €
REPSOL;3.0TD;PRESENCIALES SBC TA24HPY 3.0 REPOS2 12M L4;CONS. 65.000 - 99.999 KW;;;315,00 €;283,50 €;252,00 €;226,80 €;25,20 €;201,60 €;50,40 €;126,00 €;126,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L8;CONS. 65.000 - 99.999 KW;;;225,00 €;202,50 €;180,00 €;162,00 €;18,00 €;144,00 €;36,00 €;90,00 €;90,00 €
REPSOL;3.0TD;PRECIO FIJO PRESENCIALES SBC 12M L4;CONS. 65.000 - 99.999 KW;;;315,00 €;283,50 €;252,00 €;226,80 €;25,20 €;201,60 €;50,40 €;126,00 €;126,00 €
REPSOL;3.0TD;PRECIO FIJO PRESENCIALES SBC REPOS3 12M L8;CONS. 65.000 - 99.999 KW;;;225,00 €;202,50 €;180,00 €;162,00 €;18,00 €;144,00 €;36,00 €;90,00 €;90,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L0;CONS. 65.000 - 99.999 KW;;;720,00 €;648,00 €;576,00 €;518,40 €;57,60 €;460,80 €;115,20 €;288,00 €;288,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC REPOS 2 12M L2;CONS. 65.000 - 99.999 KW;;;450,00 €;405,00 €;360,00 €;324,00 €;36,00 €;288,00 €;72,00 €;180,00 €;180,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L4;CONS. 65.000 - 99.999 KW;;;315,00 €;283,50 €;252,00 €;226,80 €;25,20 €;201,60 €;50,40 €;126,00 €;126,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L8;CONS. 65.000 - 99.999 KW;;;225,00 €;202,50 €;180,00 €;162,00 €;18,00 €;144,00 €;36,00 €;90,00 €;90,00 €
REPSOL;3.0TD;SOLAR EMPRESA SBC REPOS2 12M L8;CONS. 65.000 - 99.999 KW;;;225,00 €;202,50 €;180,00 €;162,00 €;18,00 €;144,00 €;36,00 €;90,00 €;90,00 €
REPSOL;3.0TD;SOLAR NOCHES+FINES_SEMANA SBC REPOS2 12M L2;CONS. 65.000 - 99.999 KW;;;450,00 €;405,00 €;360,00 €;324,00 €;36,00 €;288,00 €;72,00 €;180,00 €;180,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L0;CONS. 100.000 - 249.999 KW;;;900,00 €;810,00 €;720,00 €;648,00 €;72,00 €;576,00 €;144,00 €;360,00 €;360,00 €
