comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 100.001 - 150.000 KW;;;900,00 €;765,00 €;720,00 €;648,00 €;72,00 €;576,00 €;144,00 €;360,00 €;360,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 150.001 - 200.000 KW;;;1.150,00 €;977,50 €;920,00 €;828,00 €;92,00 €;736,00 €;184,00 €;460,00 €;460,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 200.001 - 300.000 KW;;;1.400,00 €;1.190,00 €;1.120,00 €;1.008,00 €;112,00 €;896,00 €;224,00 €;560,00 €;560,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 300.001 - 500.000 KW;;;1.900,00 €;1.615,00 €;1.520,00 €;1.368,00 €;152,00 €;1.216,00 €;304,00 €;760,00 €;760,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 500.001 - 750.000 KW;;;3.000,00 €;2.550,00 €;2.400,00 €;2.160,00 €;240,00 €;1.920,00 €;480,00 €;1.200,00 €;1.200,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 750.001 - 1.000.000 KW;;;4.500,00 €;3.825,00 €;3.600,00 €;3.240,00 €;360,00 €;2.880,00 €;720,00 €;1.800,00 €;1.800,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 0 - 3.000 KW;;;190,00 €;161,50 €;152,00 €;136,80 €;15,20 €;121,60 €;30,40 €;76,00 €;76,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 3.001 - 5.000 KW;;;214,00 €;181,90 €;171,20 €;154,08 €;17,12 €;136,96 €;34,24 €;85,60 €;85,60 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 5.001 - 10.000 KW;;;281,00 €;238,85 €;224,80 €;202,32 €;22,48 €;179,84 €;44,96 €;112,40 €;112,40 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 10.001 - 20.000 KW;;;300,00 €;255,00 €;240,00 €;216,00 €;24,00 €;192,00 €;48,00 €;120,00 €;120,00 €
