comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
PLENITUDE;2.0TD;TU COMUNIDAD;Cons. 20.000 - 30.000 kW;;;120,00 €;102,00 €;96,00 €;86,40 €;9,60 €;76,80 €;19,20 €;48,00 €;48,00 €
PLENITUDE;2.0TD;TU COMUNIDAD;Cons. 30.000 - 40.000 kW;;;200,00 €;170,00 €;160,00 €;144,00 €;16,00 €;128,00 €;32,00 €;80,00 €;80,00 €
PLENITUDE;2.0TD;TU COMUNIDAD;Cons. 40.000 - 50.000 kW;;;300,00 €;255,00 €;240,00 €;216,00 €;24,00 €;192,00 €;48,00 €;120,00 €;120,00 €
PLENITUDE;2.0TD;TU COMUNIDAD;Cons. 50.000 - 70.000 kW;;;400,00 €;340,00 €;320,00 €;288,00 €;32,00 €;256,00 €;64,00 €;160,00 €;160,00 €
PLENITUDE;2.0TD;TU COMUNIDAD;Cons. 70.000 - 100.000 kW;;;500,00 €;425,00 €;400,00 €;360,00 €;40,00 €;320,00 €;80,00 €;200,00 €;200,00 €
PLENITUDE;2.0TD;TU COMUNIDAD;Cons. >100.000 kW;;;600,00 €;510,00 €;480,00 €;432,00 €;48,00 €;384,00 €;96,00 €;240,00 €;240,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 0 - 10.000 kW;;;196,00 €;166,60 €;156,80 €;141,12 €;15,68 €;125,44 €;31,36 €;78,40 €;78,40 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 10.000 - 20.000 kW;;;253,00 €;215,05 €;202,40 €;182,16 €;20,24 €;161,92 €;40,48 €;101,20 €;101,20 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 20.000 - 30.000 kW;;;345,00 €;293,25 €;276,00 €;248,40 €;27,60 €;220,80 €;55,20 €;138,00 €;138,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 30.000 - 40.000 kW;;;403,00 €;342,55 €;322,40 €;290,16 €;32,24 €;257,92 €;64,48 €;161,20 €;161,20 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 40.000 - 50.000 kW;;;460,00 €;391,00 €;368,00 €;331,20 €;36,80 €;294,40 €;73,60 €;184,00 €;184,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 50.000 - 70.000 kW;;;575,00 €;488,75 €;460,00 €;414,00 €;46,00 €;368,00 €;92,00 €;230,00 €;230,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 70.000 - 100.000 kW;;;920,00 €;782,00 €;736,00 €;662,40 €;73,60 €;588,80 €;147,20 €;368,00 €;368,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 100.000 - 150.000kW;;;1.035,00 €;879,75 €;828,00 €;745,20 €;82,80 €;662,40 €;165,60 €;414,00 €;414,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 150.000 - 200.000 kW;;;1.380,00 €;1.173,00 €;1.104,00 €;993,60 €;110,40 €;883,20 €;220,80 €;552,00 €;552,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 200.000 - 300.000 kW;;;1.840,00 €;1.564,00 €;1.472,00 €;1.324,80 €;147,20 €;1.177,60 €;294,40 €;736,00 €;736,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 300.000 - 400.000 kW;;;2.530,00 €;2.150,50 €;2.024,00 €;1.821,60 €;202,40 €;1.619,20 €;404,80 €;1.012,00 €;1.012,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 400.000 - 500.000 kW;;;3.220,00 €;2.737,00 €;2.576,00 €;2.318,40 €;257,60 €;2.060,80 €;515,20 €;1.288,00 €;1.288,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 500.000 - 700.000 kW;;;3.680,00 €;3.128,00 €;2.944,00 €;2.649,60 €;294,40 €;2.355,20 €;588,80 €;1.472,00 €;1.472,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. 700.000 - 1.200.000 kW;;;4.370,00 €;3.714,50 €;3.496,00 €;3.146,40 €;349,60 €;2.796,80 €;699,20 €;1.748,00 €;1.748,00 €
PLENITUDE;3.0TD;FACIL POWER+;Cons. > 1.200.000 kW;;;4.600,00 €;3.910,00 €;3.680,00 €;3.312,00 €;368,00 €;2.944,00 €;736,00 €;1.840,00 €;1.840,00 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 0 - 10.000 kW;;;196,00 €;166,60 €;156,80 €;141,12 €;15,68 €;125,44 €;31,36 €;78,40 €;78,40 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 10.000 - 20.000 kW;;;253,00 €;215,05 €;202,40 €;182,16 €;20,24 €;161,92 €;40,48 €;101,20 €;101,20 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 20.000 - 30.000 kW;;;345,00 €;293,25 €;276,00 €;248,40 €;27,60 €;220,80 €;55,20 €;138,00 €;138,00 €
